Artist,Song,Streams,Date
Mariah Carey,All I Want for Christmas Is You,950828,12/5/2018
Brenda Lee,Rockin' Around The Christmas Tree,704134,12/5/2018
Mariah Carey,All I Want for Christmas Is You,921322,12/6/2018
Brenda Lee,Rockin' Around The Christmas Tree,704822,12/6/2018
Mariah Carey,All I Want for Christmas Is You,869635,12/7/2018
Brenda Lee,Rockin' Around The Christmas Tree,710986,12/7/2018
Mariah Carey,All I Want for Christmas Is You,1019693,12/8/2018
Brenda Lee,Rockin' Around The Christmas Tree,838269,12/8/2018
Mariah Carey,All I Want for Christmas Is You,952937,12/9/2018
Brenda Lee,Rockin' Around The Christmas Tree,799771,12/9/2018
Mariah Carey,All I Want for Christmas Is You,810102,12/10/2018
Brenda Lee,Rockin' Around The Christmas Tree,698563,12/10/2018
Mariah Carey,All I Want for Christmas Is You,793227,12/11/2018
Brenda Lee,Rockin' Around The Christmas Tree,678147,12/11/2018
Mariah Carey,All I Want for Christmas Is You,804170,12/12/2018
Brenda Lee,Rockin' Around The Christmas Tree,691199,12/12/2018
Mariah Carey,All I Want for Christmas Is You,895664,12/13/2018
Brenda Lee,Rockin' Around The Christmas Tree,728283,12/13/2018
Mariah Carey,All I Want for Christmas Is You,957816,12/14/2018
Brenda Lee,Rockin' Around The Christmas Tree,757470,12/14/2018
Mariah Carey,All I Want for Christmas Is You,1058852,12/15/2018
Brenda Lee,Rockin' Around The Christmas Tree,853312,12/15/2018
Mariah Carey,All I Want for Christmas Is You,991971,12/16/2018
Brenda Lee,Rockin' Around The Christmas Tree,793976,12/16/2018
Mariah Carey,All I Want for Christmas Is You,864066,12/17/2018
Brenda Lee,Rockin' Around The Christmas Tree,749248,12/17/2018
Mariah Carey,All I Want for Christmas Is You,885589,12/18/2018
Brenda Lee,Rockin' Around The Christmas Tree,744204,12/18/2018
Mariah Carey,All I Want for Christmas Is You,934914,12/19/2018
Brenda Lee,Rockin' Around The Christmas Tree,829578,12/19/2018
Mariah Carey,All I Want for Christmas Is You,1036723,12/20/2018
Brenda Lee,Rockin' Around The Christmas Tree,889837,12/20/2018
Mariah Carey,All I Want for Christmas Is You,1241586,12/21/2018
Brenda Lee,Rockin' Around The Christmas Tree,1026612,12/21/2018
Mariah Carey,All I Want for Christmas Is You,1293503,12/22/2018
Brenda Lee,Rockin' Around The Christmas Tree,1109402,12/22/2018
Mariah Carey,All I Want for Christmas Is You,1293250,12/23/2018
Brenda Lee,Rockin' Around The Christmas Tree,1102416,12/23/2018
Mariah Carey,All I Want for Christmas Is You,2012356,12/24/2018
Brenda Lee,Rockin' Around The Christmas Tree,1800631,12/24/2018
Mariah Carey,All I Want for Christmas Is You,2388010,12/25/2018
Brenda Lee,Rockin' Around The Christmas Tree,2311880,12/25/2018
Mariah Carey,All I Want for Christmas Is You,524446,12/26/2018
Brenda Lee,Rockin' Around The Christmas Tree,409644,12/26/2018
Mariah Carey,All I Want for Christmas Is You,302453,11/1/2019
Mariah Carey,All I Want for Christmas Is You,281222,11/2/2019
Mariah Carey,All I Want for Christmas Is You,262747,11/3/2019
Mariah Carey,All I Want for Christmas Is You,270318,11/4/2019
Mariah Carey,All I Want for Christmas Is You,271428,11/5/2019
Mariah Carey,All I Want for Christmas Is You,295412,11/6/2019
Mariah Carey,All I Want for Christmas Is You,318323,11/7/2019
Mariah Carey,All I Want for Christmas Is You,326702,11/8/2019
Mariah Carey,All I Want for Christmas Is You,319953,11/9/2019
Mariah Carey,All I Want for Christmas Is You,313263,11/10/2019
Brenda Lee,Rockin' Around The Christmas Tree,211815,11/10/2019
Mariah Carey,All I Want for Christmas Is You,359208,11/11/2019
Brenda Lee,Rockin' Around The Christmas Tree,251994,11/11/2019
Mariah Carey,All I Want for Christmas Is You,378678,11/12/2019
Brenda Lee,Rockin' Around The Christmas Tree,267729,11/12/2019
Mariah Carey,All I Want for Christmas Is You,361046,11/13/2019
Brenda Lee,Rockin' Around The Christmas Tree,254978,11/13/2019
Mariah Carey,All I Want for Christmas Is You,347324,11/14/2019
Brenda Lee,Rockin' Around The Christmas Tree,247307,11/14/2019
Mariah Carey,All I Want for Christmas Is You,339693,11/15/2019
Brenda Lee,Rockin' Around The Christmas Tree,240665,11/15/2019
Mariah Carey,All I Want for Christmas Is You,368675,11/16/2019
Brenda Lee,Rockin' Around The Christmas Tree,269499,11/16/2019
Mariah Carey,All I Want for Christmas Is You,390374,11/17/2019
Brenda Lee,Rockin' Around The Christmas Tree,283041,11/17/2019
Mariah Carey,All I Want for Christmas Is You,359250,11/18/2019
Brenda Lee,Rockin' Around The Christmas Tree,268861,11/18/2019
Mariah Carey,All I Want for Christmas Is You,362490,11/19/2019
Brenda Lee,Rockin' Around The Christmas Tree,259710,11/19/2019
Mariah Carey,All I Want for Christmas Is You,374590,11/20/2019
Brenda Lee,Rockin' Around The Christmas Tree,269475,11/20/2019
Mariah Carey,All I Want for Christmas Is You,430414,11/21/2019
Brenda Lee,Rockin' Around The Christmas Tree,289620,11/21/2019
